Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Backorder,Unit Price,Extended Price
1,10,490-7236-1-ND,GRM0335C2AR80BA01D,CAP CER 0.8PF 100V C0G/NP0 0201,EARPLE: C3,0,0.071,$0.71 
2,20,490-11315-1-ND,GRM0335C1H200JA01D,CAP CER 20PF 50V C0G/NP0 0201,"EARPLE: C17,C18",0,0.015,$0.30 
3,10,490-7751-1-ND,GRM0335C1H101GA01D,CAP CER 100PF 50V C0G/NP0 0201,EARPLE: C7,0,0.02,$0.20 
4,10,490-3184-1-ND,GRM033R71E102KA01D,CAP CER 1000PF 25V X7R 0201,EARPLE: C32,0,0.027,$0.27 
5,10,490-7194-1-ND,GRM033R61E103KA12D,CAP CER 10000PF 25V X5R 0201,EARPLE: C51,0,0.019,$0.19 
6,100,490-5405-1-ND,GRM033R61A104ME15D,CAP CER 0.1UF 10V X5R 0201,"EARPLE: C4, C5 C8, C52, C53,, C11,CCT,",0,0.0074,$0.74 
7,20,490-7229-1-ND,GRM033R60J105MEA2D,CAP CER 1UF 6.3V X5R 0201,"EARPLE: C10, C33",0,0.085,$1.70 
8,10,445-13685-1-ND,C0603X6S0G334K030BC,CAP CER 0.33UF 4V X6S 0201,EARPLE: C12,0,0.16,$1.60 
9,30,490-5915-1-ND,GRM155R60J475ME47D,CAP CER 4.7UF 6.3V X5R 0402,"EARPLE: C31, C9, CBAT",0,0.109,$3.27 
10,20,490-3144-1-ND,GRM0335C1E120JA01D,CAP CER 12PF 25V C0G/NP0 0201,"EARPLE: C1, C2",0,0.015,$0.30 
11,10,SER3800CT-ND,FA-128 32.0000MF20X-K3,CRYSTAL 32.0000MHZ 10PF SMD,EARPLE: X1,0,0.495,$4.95 
12,10,XC1658CT-ND,ECS-.327-12.5-39-TR,CRYSTAL 32.7680KHZ 12.5PF SMD,EARPLE: X2,0,0.88,$8.80 
13,10,H125274CT-ND,ZX62R-B-5P(30),CONN RCPT USB2.0 MICRO B SMD R/A,EARPLE: USB,0,0.965,$9.65 
14,10,490-5560-1-ND,LQP03TN3N9C02D,FIXED IND 3.9NH 400MA 300 MOHM,EARPLE: L1,0,0.044,$0.44 
15,10,490-4025-1-ND,LQM18FN100M00D,FIXED IND 10UH 50MA 900 MOHM SMD,EARPLE: L2,0,0.134,$1.34 
16,10,490-6713-1-ND,LQP03TN15NH02D,FIXED IND 15NH 250MA 700 MOHM,EARPLE: L3,0,0.047,$0.47 
17,25,160-1446-1-ND,LTST-C191KGKT,LED GREEN CLEAR SMD,"EARPLE: LED1, LED2",0,0.16,$4.00 
